customer_id,Name,Geography,Gender,Age
CS1100,Hargrave K,France,Female,42
CS1101,Hill V,Spain,Female,
CS1102,Onio B,France,Female,42
CS1103,Boni H,France,Female,39
CS1104,Mitchell W,Spain,Female,43
CS1105,Chu E,Spain,Male,44
CS1106,Bartlett T,France,Male,50
CS1107,Obinna E,Germany,Female,29
CS1108,He L,France,Male,44
CS1109,Hu Wu,France,Male,27
CS1110,Bearce F,France,Male,31
CS1111,Andrews L,Spain,Male,24
CS1112,Kay F,France,Female,34
CS1113,Chin G,France,Female,25
CS1114,Scott B,Spain,Female,35
CS1115,Goforth A,Germany,Male,45
CS1116,Romeo L,Germany,Male,58
CS1117,Henderson D,Spain,Female,24
CS1118,Muldrow H,Spain,Male,45
CS1119,Hao S,France,Female,24
CS1120,McDonald R,France,Male,41
CS1121,Dellucci P,Spain,Female,32
CS1122,Gerasimov C,Spain,Female,38
CS1123,Mosman M,France,Male,46
CS1124,Yen I,France,Female,38
CS1125,Maclean A,France,Male,25
CS1126,Young H,Germany,Male,36
CS1127,Nebechi S,France,Male,44
CS1128,McWilliams H,Germany,Female,43
CS1129,Lucciano B,France,Male,29
CS1130,Azikiwe C,Spain,Female,39
CS1131,Odinakachukwu G,France,Male,36
CS1132,Sanderson S,Germany,Male,41
CS1133,Maggard B,Spain,Female,42
CS1134,Clements Z,Spain,Female,29
CS1135,Lombardo M,France,Female,45
CS1136,Watson W,Spain,Male,31
CS1137,Lorenzo N,Spain,Male,33
CS1138,Armstrong S,France,Male,36
CS1139,Cameron G,Germany,Male,41
CS1140,Hsiao A,Spain,Male,40
CS1141,Clarke W,France,Female,51
CS1142,Osborne W,France,Female,61
CS1143,Lavine M,France,Female,49
CS1144,Bianchi W,Spain,Female,61
CS1145,Tyler P,Germany,Female,32
CS1146,Martin A,Germany,Female,27
CS1147,Okagbue N,Germany,Female,39
CS1148,Yin O,Germany,Male,38
CS1149,Buccho K,Germany,Female,37
CS1150,Chidiebele G,Germany,Male,44
CS1151,Trevisani E,Germany,Male,36
CS1152,O'Brien D,France,Female,33
CS1153,Parkhill M,Germany,Male,41
CS1154,Yoo C,Germany,Male,42
CS1155,Phillipps K,France,Male,43
CS1156,Tsao B,France,Male,45
CS1157,Endrizzi A,Germany,Male,19
CS1158,T'ien R,Spain,Female,66
CS1159,Velazquez T,France,Male,51
CS1160,Hunter C,Germany,Male,35
CS1161,Clark F,Germany,Female,27
CS1162,Jeffrey M,Spain,Male,33
CS1163,Pirozzi B,Spain,Male,56
CS1164,Jackson D,Germany,Male,26
CS1165,Hammond O,Germany,Female,36
CS1166,Brownless F,Germany,Female,34
CS1167,Chibugo E,Germany,Male,43
CS1168,Glauert M,Germany,Female,35
CS1169,Pisano I,France,Female,21
CS1170,Konovalova F,Germany,Male,58
CS1171,McKee S,France,Male,29
CS1172,Palermo D,Spain,Female,37
CS1173,Ballard C,Germany,Female,25
CS1174,Wallace H,France,Male,36
CS1175,Cavenagh S,France,Female,21
CS1176,Hu R,France,Male,55
CS1177,Read W,France,Female,32
CS1178,Bushell R,Spain,Male,33
CS1179,Postle B,Germany,Female,41
CS1180,Buley S,France,Female,34
CS1181,Leonard K,France,Female,32
CS1182,Mills M,France,Female,36
CS1183,Onyeorulu C,France,Female,34
CS1184,Beit A,France,Female,46
CS1185,Ndukaku S,Spain,Female,75
CS1186,Gant A,Spain,Male,22
CS1187,Rowley A,France,Male,30
CS1188,Sharpe H,France,Female,46
CS1189,Osborne H,Germany,Female,28
CS1190,Heap F,Spain,Female,44
CS1191,Ritchie T,France,Male,45
CS1192,Cole W,France,Female,36
CS1193,Capon W,France,Male,29
CS1194,Capon P,Spain,Male,
CS1195,Fiorentini C,Spain,Male,35
CS1196,Graham I,Spain,Male,41
CS1197,Yuille O,Germany,Male,29
CS1198,Allard G,Spain,Male,22
CS1199,Fanucci K,France,Male,34
CS1200,Fu V,France,Female,40
CS1201,Hung L,France,Female,44
CS1202,Hung W,France,Male,31
CS1203,Bradley C,Spain,Male,36
CS1204,Dunbabin G,Spain,Female,65
CS1205,Mauldon W,Spain,Female,46
CS1206,Stiger H,Germany,Male,32
CS1207,Parsons R,Germany,Female,36
CS1208,Walkom L,Spain,Male,33
CS1209,T'ang D,Germany,Male,35
CS1210,Eremenko V,Germany,Male,30
CS1211,Rowntree M,Germany,Male,39
CS1212,Thorpe R,France,Male,42
CS1213,Chiemela L,Spain,Male,36
CS1214,Fanucci E,Germany,Male,28
CS1215,Ko I,Germany,Female,30
CS1216,Welch P,Germany,Female,37
CS1217,Duncan P,France,Female,41
CS1218,Chidozie K,Germany,Female,31
CS1219,Wu K,Germany,Male,34
CS1220,Culbreth M,France,Male,34
CS1221,Kennedy T,Spain,Male,39
CS1222,Cameron A,France,Female,39
CS1223,Calabresi C,Germany,Female,48
CS1224,Zetticci L,France,Female,28
CS1225,Fuller H,France,Male,42
CS1226,MacDonald M,France,Female,52
CS1227,Piccio K,Germany,Male,56
CS1228,Kennedy M,France,Female,41
CS1229,Fernie C,France,Male,24
CS1230,He M,France,Female,34
CS1231,Kaodilinakachukwu B,Germany,Female,33
CS1232,Cocci A,France,Male,38
CS1233,Alekseeva P,France,Male,25
CS1234,Chinweike P,Germany,Male,39
CS1235,Arthur C,Germany,Female,50
CS1236,Li H,Germany,Female,34
CS1237,Ma L,France,Male,40
CS1238,Chia R,Spain,Female,48
CS1239,Vasin K,Spain,Female,35
CS1240,Groves N,Germany,Male,44
CS1241,Tien W,France,Male,34
CS1242,Forwood B,France,Female,43
CS1243,Greeves P,Spain,Male,52
CS1244,Taylor N,France,Female,31
CS1245,Madukwe S,Spain,Female,21
CS1246,Bennelong S,Spain,Female,29
CS1247,Olisanugo L,France,Male,37
CS1248,Chukwufumnanya M,France,Male,44
CS1249,Harris B,France,Male,32
CS1250,Morgan W,Spain,Female,32
CS1251,Alexeeva W,France,Female,48
CS1252,Metcalfe B,Spain,Male,42
CS1253,Humphries N,France,Male,37
CS1254,Milne H,France,Female,43
CS1255,Chou Z,Spain,Male,57
CS1256,Li F,France,Female,33
CS1257,Clayton I,Spain,Female,28
CS1258,Maclean S,France,Female,73
CS1259,Chigolum K,Germany,Female,33
CS1260,Wilkinson A,Spain,Female,22
CS1261,Wei V,France,Male,30
CS1262,Treacy B,France,Female,49
CS1263,Hu B,Spain,Female,36
CS1264,Taverner C,Spain,Male,29
CS1265,Sherman C,Germany,Male,31
CS1266,Taubman P,Germany,Female,24
CS1267,Robinson W,Spain,Female,
CS1268,Pinto C,Spain,Female,39
CS1269,Wood M,Germany,Male,24
CS1270,Hawkins L,France,Female,29
CS1271,Sun H,Germany,Male,27
CS1272,Yost S,Germany,Male,44
CS1273,Ting M,France,Male,30
CS1274,Rowe C,France,Male,40
CS1275,Fu T,Spain,Female,35
CS1276,Ho N,France,Female,30
CS1277,Okechukwu D,Germany,Male,36
CS1278,Campbell C,Spain,Female,40
CS1279,Ashbolt G,Germany,Female,55
CS1280,Rozier L,Spain,Female,45
CS1281,Hsia T,France,Male,65
CS1282,Ogbonnaya J,Germany,Female,45
CS1283,T'ang K,France,Male,42
CS1284,Cocci G,France,Female,50
CS1285,Chang D,France,Male,32
CS1286,T'ao R,France,Female,39
CS1287,Ford O,Spain,Female,37
CS1288,Marshall L,Spain,Male,30
CS1289,Tsai H,Germany,Female,34
CS1290,Onwumelu L,France,Female,41
CS1291,Graham R,France,Female,36
CS1292,Golovanov M,France,Male,40
CS1293,Potts B,France,Male,32
CS1294,Crawford K,Spain,Male,29
CS1295,Aleshire W,France,Male,35
CS1296,Moran O,Spain,Female,32
CS1297,Samsonova E,Germany,Male,37
CS1298,Jenkins D,France,Male,57
CS1299,Volkov M,France,Male,35
CS1300,Chiemezie E,Spain,Male,30
CS1301,Jude S,France,Male,42
CS1302,Onuora A,Spain,Male,50
CS1303,Ginikanwa G,France,Female,38
CS1304,Ku M,Spain,Male,33
CS1305,McDonald F,France,Male,37
CS1306,Collins B,Spain,Female,41
CS1307,Hackett K,France,Male,34
CS1308,Dike C,France,Male,45
CS1309,Trevisano A,France,Male,45
CS1310,Tan A,Germany,Male,33
CS1311,Glassman V,France,Male,31
CS1312,Miller B,France,Female,41
CS1313,Kornilova N,France,Female,34
CS1314,Watson F,Germany,Male,26
CS1315,Marchesi G,Germany,Male,47
CS1316,Millar S,France,Male,46
CS1317,Shih E,Spain,Female,33
CS1318,Fuller I,France,Male,43
CS1319,Hay C,France,Male,54
CS1320,Yang S,France,Female,31
CS1321,McIntyre C,Spain,Male,30
CS1322,Stevenson W,France,Male,42
CS1323,Poole L,France,Male,33
CS1324,Bagley E,Germany,Male,45
CS1325,Ch'ien B,France,Male,37
CS1326,Cattaneo Z,France,Female,30
CS1327,O'Sullivan S,Germany,Female,39
CS1328,Lucas G,Germany,Male,50
CS1329,Ringrose C,Germany,Female,29
CS1330,Freeman M,France,Male,72
CS1331,Sergeyev O,France,Male,
CS1332,Fiore B,France,Female,37
CS1333,Smith C,Germany,Male,20
CS1334,Dumetochukwu G,France,Female,67
CS1335,Pacheco L,Germany,Male,42
CS1336,Synnot W,France,Female,29
CS1337,Johnston B,Germany,Female,43
CS1338,Stevens S,France,Female,46
CS1339,Grant H,France,Male,28
CS1340,Tsao R,Spain,Male,
CS1341,Barnes P,Germany,Female,39
CS1342,McIntosh C,France,Male,37
CS1343,Madison H,Germany,Male,67
CS1344,Ifesinachi M,Spain,Male,34
CS1345,Glazkov C,France,Female,40
CS1346,Dimauro S,Germany,Male,26
CS1347,Wieck B,France,Female,26
CS1348,Liao A,Germany,Male,24
CS1349,Hughes D,Germany,Male,54
CS1350,Morrison O,Germany,Female,36
CS1351,Matveyeva B,Spain,Female,34
CS1352,Ku D,France,Female,79
CS1353,Cheatham K,Germany,Male,37
CS1354,Yao B,Spain,Male,28
CS1355,Kirkland V,Spain,Male,41
CS1356,Rose B,France,Male,34
CS1357,Jess M,Germany,Female,34
CS1358,Ifeajuna P,France,Female,30
CS1359,Morton G,Germany,Male,38
CS1360,Rossi K,Germany,Male,
CS1361,Reppert D,Spain,Female,48
CS1362,Kang Y,France,Female,32
CS1363,Ch'iu I,France,Female,26
CS1364,Wallis W,Spain,Male,31
CS1365,Clark D,Spain,Female,36
CS1366,Fielding L,France,Male,34
CS1367,Zetticci V,France,Male,36
CS1368,Dulhunty D,Spain,Female,39
CS1369,Bevington F,Germany,Female,35
CS1370,Boyle M,Spain,Male,41
CS1371,Newton B,Germany,Male,34
CS1372,Bowman C,Germany,Female,34
CS1373,Dubinina C,France,Male,30
CS1374,Toscani D,Germany,Male,28
CS1375,Chiazagomekpere M,Spain,Female,37
CS1376,Allen H,France,Male,62
CS1377,K'ung T,France,Female,53
CS1378,Wilsmore K,France,Male,35
CS1379,Hargreaves A,France,Male,46
CS1380,Huang G,France,Male,39
CS1381,Ch'ien K,Spain,Male,29
CS1382,Wallwork K,Germany,Male,35
CS1383,Chu S,France,Male,42
CS1384,Kang N,France,Female,22
