"Customer ID";"Customer Name";"Segment";"City";"State";"Country";"Region";"Postal Code"
"CG-12520";"Claire Gute";"Consumer";"Henderson";"Kentucky";"United States";"South";42420
"DV-13045";"Darrin Van Huff";"Corporate";"Los Angeles";"California";"United States";"West";90036
"SO-20335";"Sean O'Donnell";"Consumer";"Fort Lauderdale";"Florida";"United States";"South";33311
"BH-11710";"Brosina Hoffman";"Consumer";"Los Angeles";"California";"United States";"West";90032
"AA-10480";"Andrew Allen";"Consumer";"Concord";"North Carolina";"United States";"South";28027
"IM-15070";"Irene Maddox";"Consumer";"Seattle";"Washington";"United States";"West";98103
"HP-14815";"Harold Pawlan";"Home Office";"Fort Worth";"Texas";"United States";"Central";76106
"PK-19075";"Pete Kriz";"Consumer";"Madison";"Wisconsin";"United States";"Central";53711
"AG-10270";"Alejandro Grove";"Consumer";"West Jordan";"Utah";"United States";"West";84084
"ZD-21925";"Zuschuss Donatelli";"Consumer";"San Francisco";"California";"United States";"West";94109
"KB-16585";"Ken Black";"Corporate";"Fremont";"Nebraska";"United States";"Central";68025
"SF-20065";"Sandra Flanagan";"Consumer";"Philadelphia";"Pennsylvania";"United States";"East";19140
"EB-13870";"Emily Burns";"Consumer";"Orem";"Utah";"United States";"West";84057
"EH-13945";"Eric Hoffmann";"Consumer";"Los Angeles";"California";"United States";"West";90049
"TB-21520";"Tracy Blumstein";"Consumer";"Philadelphia";"Pennsylvania";"United States";"East";19140
"MA-17560";"Matt Abelman";"Home Office";"Houston";"Texas";"United States";"Central";77095
"GH-14485";"Gene Hale";"Corporate";"Richardson";"Texas";"United States";"Central";75080
"SN-20710";"Steve Nguyen";"Home Office";"Houston";"Texas";"United States";"Central";77041
"LC-16930";"Linda Cazamias";"Corporate";"Naperville";"Illinois";"United States";"Central";60540
"RA-19885";"Ruben Ausman";"Corporate";"Los Angeles";"California";"United States";"West";90049
"ES-14080";"Erin Smith";"Corporate";"Melbourne";"Florida";"United States";"South";32935
"ON-18715";"Odella Nelson";"Corporate";"Eagan";"Minnesota";"United States";"Central";55122
"PO-18865";"Patrick O'Donnell";"Consumer";"Westland";"Michigan";"United States";"Central";48185
"LH-16900";"Lena Hernandez";"Consumer";"Dover";"Delaware";"United States";"East";19901
"DP-13000";"Darren Powers";"Consumer";"New Albany";"Indiana";"United States";"Central";47150
"JM-15265";"Janet Molinari";"Corporate";"New York City";"New York";"United States";"East";10024
"TB-21055";"Ted Butterfield";"Consumer";"Troy";"New York";"United States";"East";12180
"KM-16720";"Kunst Miller";"Consumer";"Los Angeles";"California";"United States";"West";90004
"PS-18970";"Paul Stevenson";"Home Office";"Chicago";"Illinois";"United States";"Central";60610
"BS-11590";"Brendan Sweed";"Corporate";"Gilbert";"Arizona";"United States";"West";85234
"KD-16270";"Karen Daniels";"Consumer";"Springfield";"Virginia";"United States";"South";22153
"HM-14980";"Henry MacAllister";"Consumer";"New York City";"New York";"United States";"East";10009
"TB-21520";"Tracy Blumstein";"Consumer";"Jackson";"Michigan";"United States";"Central";49201
"JE-15745";"Joel Eaton";"Consumer";"Memphis";"Tennessee";"United States";"South";38109
"KB-16600";"Ken Brennan";"Corporate";"Houston";"Texas";"United States";"Central";77041
"JE-15745";"Joel Eaton";"Consumer";"Houston";"Texas";"United States";"Central";77070
"SC-20770";"Stewart Carmichael";"Corporate";"Decatur";"Alabama";"United States";"South";35601
"DN-13690";"Duane Noonan";"Consumer";"San Francisco";"California";"United States";"West";94122
"JC-16105";"Julie Creighton";"Corporate";"Durham";"North Carolina";"United States";"South";27707
"CS-12400";"Christopher Schild";"Home Office";"Chicago";"Illinois";"United States";"Central";60623
"PO-18865";"Patrick O'Donnell";"Consumer";"Columbia";"South Carolina";"United States";"South";29203
"PG-18895";"Paul Gonzalez";"Consumer";"Rochester";"Minnesota";"United States";"Central";55901
"GM-14455";"Gary Mitchum";"Home Office";"Houston";"Texas";"United States";"Central";77095
"JS-15685";"Jim Sink";"Corporate";"Los Angeles";"California";"United States";"West";90036
"KB-16315";"Karl Braun";"Consumer";"Minneapolis";"Minnesota";"United States";"Central";55407
"RB-19705";"Roger Barcio";"Home Office";"Portland";"Oregon";"United States";"West";97206
"PN-18775";"Parhena Norris";"Home Office";"New York City";"New York";"United States";"East";10009
"KD-16345";"Katherine Ducich";"Consumer";"San Francisco";"California";"United States";"West";94122
"ER-13855";"Elpida Rittenbach";"Corporate";"Saint Paul";"Minnesota";"United States";"Central";55106
"RB-19465";"Rick Bensley";"Home Office";"Chicago";"Illinois";"United States";"Central";60610
"GZ-14470";"Gary Zandusky";"Consumer";"Rochester";"Minnesota";"United States";"Central";55901
"LC-16870";"Lena Cacioppo";"Consumer";"Aurora";"Colorado";"United States";"West";80013
"JM-15250";"Janet Martin";"Consumer";"Charlotte";"North Carolina";"United States";"South";28205
"PA-19060";"Pete Armstrong";"Home Office";"Orland Park";"Illinois";"United States";"Central";60462
"CV-12805";"Cynthia Voltz";"Corporate";"New York City";"New York";"United States";"East";10035
"CL-12565";"Clay Ludtke";"Consumer";"Urbandale";"Iowa";"United States";"Central";50322
"RC-19960";"Ryan Crowe";"Consumer";"Columbus";"Ohio";"United States";"East";43229
"DK-13090";"Dave Kipp";"Consumer";"Seattle";"Washington";"United States";"West";98103
"GG-14650";"Greg Guthrie";"Corporate";"Bristol";"Tennessee";"United States";"South";37620
"SC-20725";"Steven Cartwright";"Consumer";"Wilmington";"Delaware";"United States";"East";19805
"AD-10180";"Alan Dominguez";"Home Office";"Houston";"Texas";"United States";"Central";77041
"PF-19165";"Philip Fox";"Consumer";"Bloomington";"Illinois";"United States";"Central";61701
"TS-21610";"Troy Staebel";"Consumer";"Phoenix";"Arizona";"United States";"West";85023
"LS-16975";"Lindsay Shagiari";"Home Office";"Los Angeles";"California";"United States";"West";90004
"DW-13585";"Dorothy Wardle";"Corporate";"Columbus";"Ohio";"United States";"East";43229
"LC-16885";"Lena Creighton";"Consumer";"Roseville";"California";"United States";"West";95661
"JD-15895";"Jonathan Doherty";"Corporate";"Philadelphia";"Pennsylvania";"United States";"East";19140
"SH-19975";"Sally Hughsby";"Corporate";"San Francisco";"California";"United States";"West";94122
"SG-20080";"Sandra Glassco";"Consumer";"Independence";"Missouri";"United States";"Central";64055
"HA-14920";"Helen Andreada";"Consumer";"Pasadena";"California";"United States";"West";91104
"MG-17680";"Maureen Gastineau";"Home Office";"Newark";"Ohio";"United States";"East";43055
"JE-16165";"Justin Ellison";"Corporate";"Franklin";"Wisconsin";"United States";"Central";53132
"TW-21025";"Tamara Willingham";"Home Office";"Scottsdale";"Arizona";"United States";"West";85254
"SP-20650";"Stephanie Phelps";"Corporate";"San Jose";"California";"United States";"West";95123
"NK-18490";"Neil Knudson";"Home Office";"Seattle";"Washington";"United States";"West";98105
